"mat_code","mat_name","genres","mat_type","anio_prod"
"138279","PERDIDOS EN TOKIO","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2003"
"138394","SQUIDBILLIES","ANIMACIÓN - COMEDIA","EPISODE (ANIMATED)","2004 - 2005"
"138486","ADVENTURES OF PLUTO NASH","ACCIÓN - CIENCIA FICCIÓN - COMEDIA","LARGOMETRAJE","2002"
"138490","DIVINE SECRETS OF THE YA-YA SISTERHOOD","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2002"
"138495","SIMONE","CIENCIA FICCIÓN - COMEDIA - DRAMA","LARGOMETRAJE","2002"
"138514","PETER PAN","AVENTURAS - FAMILIAR - FANTASÍA","LARGOMETRAJE","2003"
"138528","BRING IT ON AGAIN","COMEDIA","LARGOMETRAJE","2004"
"138578","I SPY","AVENTURAS - COMEDIA - POLICIAL","LARGOMETRAJE","2002"
"138583","JOE DIRT","COMEDIA","LARGOMETRAJE","2001"
"138606","JUST VISITING","AVENTURAS - COMEDIA","LARGOMETRAJE","2001"
"138631","RUNDOWN, THE","ACCIÓN - AVENTURAS - COMEDIA - TERROR","LARGOMETRAJE","2003"
"138639","SHAUN OF THE DEAD","COMEDIA - ROMANCE - TERROR","LARGOMETRAJE","2004"
"138649","ANALYZE THAT","COMEDIA - POLICIAL","LARGOMETRAJE","2002"
"138652","LORD OF THE RINGS: THE TWO TOWERS","ACCIÓN - AVENTURAS - FANTASÍA","LARGOMETRAJE","2002"
"138666","13 GOING ON 30","COMEDIA - DRAMA - FANTASÍA - ROMANCE","LARGOMETRAJE","2004"
"138670","ENVY","COMEDIA","LARGOMETRAJE","2004"
"138672","TO DIE FOR","COMEDIA - DRAMA - SUSPENSO","LARGOMETRAJE","1995"
"138682","THE MEDALLION","ACCIÓN - COMEDIA - FANTASÍA - TERROR","LARGOMETRAJE","2003"
"138685","MATRIX RELOADED, THE","ACCIÓN - CIENCIA FICCIÓN","LARGOMETRAJE","2003"
"138718","SAVING SILVERMAN","COMEDIA - POLICIAL - ROMANCE","LARGOMETRAJE","2001"
"138728","LOVE ACTUALLY","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2003"
"138729","KANGAROO JACK","AVENTURAS - COMEDIA - POLICIAL","LARGOMETRAJE","2003"
"138741","TWO WEEKS NOTICE","COMEDIA - ROMANCE","LARGOMETRAJE","2002"
"138748","WHITE CHICKS","COMEDIA - POLICIAL","LARGOMETRAJE","2004"
"138803","BABE","COMEDIA - FAMILIAR","LARGOMETRAJE","1995"
"138826","HITCH","COMEDIA - ROMANCE","LARGOMETRAJE","2005"
"138843","WIMBLEDON","COMEDIA - DEPORTE - DRAMA - ROMANCE","LARGOMETRAJE","2004"
"138851","LITTLE BLACK BOOK","COMEDIA - ROMANCE","LARGOMETRAJE","2004"
"138852","MATCHSTICK MEN","COMEDIA - DRAMA - POLICIAL - SUSPENSO","LARGOMETRAJE","2003"
"138897","BRIDGET JONES: THE EDGE OF REASON","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2004"
"138932","DUMB AND DUMBERER: WHEN HARRY MET LLOYD","COMEDIA","LARGOMETRAJE","2003"
"138970","MAN OF THE HOUSE","ACCIÓN - COMEDIA","LARGOMETRAJE","2005"
"139008","SPIDER-MAN 2","ACCIÓN - AVENTURAS - CIENCIA FICCIÓN - FANTASÍA","LARGOMETRAJE","2004"
"139009","AMERICAN PIE PRESENTS: BAND CAMP","COMEDIA","LARGOMETRAJE","2005"
"139040","ARE WE THERE YET?","COMEDIA - FAMILIAR","LARGOMETRAJE","2005"
"139042","INSPECTOR GADGET 2","ACCIÓN - COMEDIA - FAMILIAR","LARGOMETRAJE","2003"
"139115","MATRIX REVOLUTIONS, THE","ACCIÓN - CIENCIA FICCIÓN","LARGOMETRAJE","2003"
"139119","LORD OF THE RINGS: RETURN OF THE KING","ACCIÓN - AVENTURAS - FANTASÍA","LARGOMETRAJE","2003"
"139142","CHRISTMAS WITH THE KRANKS","COMEDIA - FAMILIAR","LARGOMETRAJE","2004"
"139143","SWEET HOME ALABAMA","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2002"
"139154","NOTEBOOK, THE","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2004"
"139157","TROY","ACCIÓN - DRAMA - ÉPICA","LARGOMETRAJE","2004"
"139163","URBAN LEGENDS: BLOODY MARY","TERROR","LARGOMETRAJE","2005"
"139204","SOMETHING'S GOTTA GIVE","COMEDIA - ROMANCE","LARGOMETRAJE","2003"
"139241","DEUCE BIGALOW: EUROPEAN GIGOLO","COMEDIA","LARGOMETRAJE","2005"
"139243","LORDS OF DOGTOWN","DEPORTE","LARGOMETRAJE","2005"
"139299","SCOOBY-DOO 2: MONSTERS UNLEASHED","ACCIÓN - AVENTURAS - COMEDIA - FAMILIAR","LARGOMETRAJE","2004"
"139308","TOM GOES TO THE MAYOR","ANIMACIÓN - COMEDIA","EPISODE (ANIMATED)","2004 - 2005"
"139365","SECONDHAND LIONS","AVENTURAS - COMEDIA","LARGOMETRAJE","2003"
"139366","BLADE: TRINITY","ACCIÓN - SUSPENSO","LARGOMETRAJE","2004"
"139392","CHARLIE'S ANGELS: FULL THROTTLE","ACCIÓN - AVENTURAS - COMEDIA - POLICIAL","LARGOMETRAJE","2003"
"139413","ASSAULT ON PRECINCT 13","POLICIAL","LARGOMETRAJE","2005"
"139457","PERFECT MAN, THE","COMEDIA - FAMILIAR - ROMANCE","LARGOMETRAJE","2005"
"139465","KICKING & SCREAMING","COMEDIA - DEPORTE - FAMILIAR","LARGOMETRAJE","2005"
"139497","WEATHER MAN, THE","COMEDIA - DRAMA","LARGOMETRAJE","2005"
"139520","HARRY POTTER AND THE PRISIONER OF AZKABAN","AVENTURAS - FANTASÍA","LARGOMETRAJE","2004"
"139524","ELIZABETHTOWN","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2005"
"139526","BEWITCHED","COMEDIA - FANTASÍA - ROMANCE","LARGOMETRAJE","2005"
"139545","SQUID AND THE WHALE, THE","COMEDIA - DRAMA","LARGOMETRAJE","2005"
"139546","UNDERWORLD: EVOLUTION","ACCIÓN - FANTASÍA - TERROR","LARGOMETRAJE","2006"
"139581","LEGEND OF ZORRO, THE","ACCIÓN - AVENTURAS - WESTERN","LARGOMETRAJE","2005"
"139602","BRING IT ON: ALL OR NOTHING","COMEDIA - DEPORTE","LARGOMETRAJE","2006"
"139603","CHASING LIBERTY","COMEDIA - ROMANCE","LARGOMETRAJE","2004"
"139612","FUN WITH DICK AND JANE","COMEDIA - POLICIAL","LARGOMETRAJE","2005"
"139640","TOTAL DRAMA ISLAND","ANIMACIÓN - AVENTURAS","EPISODE (ANIMATED)","2007"
"139745","KING KONG","AVENTURAS - DRAMA - SUSPENSO","LARGOMETRAJE","2005"
"139751","KING ARTHUR","ACCIÓN - AVENTURAS","LARGOMETRAJE","2004"
"139762","A LOT LIKE LOVE","COMEDIA - DRAMA - ROMANCE","LARGOMETRAJE","2005"
"139767","CINDERELLA MAN","DEPORTE - DRAMA","LARGOMETRAJE","2005"
"139943","ZATHURA","ACCIÓN - AVENTURAS - FAMILIAR - FANTASÍA","LARGOMETRAJE","2005"
"140102","EVERYTHING IS ILLUMINATED","DRAMA","LARGOMETRAJE","2005"
"140104","FINAL DESTINATION 3","SUSPENSO - TERROR","LARGOMETRAJE","2006"
"140108","HARRY POTTER AND THE GOBLET OF FIRE","AVENTURAS - FAMILIAR - FANTASÍA","LARGOMETRAJE","2005"
"140112","KISS KISS BANG BANG","COMEDIA - POLICIAL - SUSPENSO","LARGOMETRAJE","2005"
"140114","MONSTER-IN-LAW","COMEDIA - ROMANCE","LARGOMETRAJE","2005"
"140119","RUMOR HAS IT","COMEDIA - ROMANCE","LARGOMETRAJE","2005"
"140123","SUPERMAN RETURNS","ACCIÓN - AVENTURAS - FANTASÍA","LARGOMETRAJE","2006"
